risk_tier,customer_count,total_spend,avg_order_value,avg_churn_probability
Low Risk,19311,2877869.63,141.45850830885925,0.14720578113467186
Medium Risk,20263,3967296.35,191.26690430364516,0.4625661215543628
High Risk,25391,4915189.45,189.98651320021528,0.7118604437210855
Critical Risk,28385,3660870.88,124.5077229634476,0.8708619017744815
